pressure,maxtemp,temperature,mintemp,dewpoint,humidity,cloud,sunshine,windspeed,wind_direct_category,rainfall
High,Low,Low,Low,Low,Low,Low,High,High,E,yes
High,Low,Low,Low,Low,Medium,Medium,Low,Low,E,yes
High,Low,Low,Low,Low,High,High,Low,Low,N,yes
High,Low,Low,Low,Medium,High,High,Low,Medium,E,yes
Medium,Low,Low,Medium,Medium,High,Medium,Low,Low,N,yes
High,Medium,Low,Low,Low,Medium,Low,High,Low,N,yes
High,Low,Low,Low,Low,Medium,Low,Medium,Medium,N,no
High,Low,Low,Low,Low,Medium,Low,High,Low,E,no
High,Low,Low,Low,Low,Medium,Medium,Medium,High,E,no
High,Low,Low,Low,Low,Medium,High,Low,High,E,yes
Medium,Low,Low,Low,Low,High,High,Medium,Medium,N,yes
High,Low,Low,Low,Low,Medium,High,Low,Medium,N,no
High,Low,Low,Low,Low,Low,Low,High,Medium,N,no
High,Low,Low,Low,Low,Medium,Medium,Medium,High,E,yes
Medium,Low,Low,Low,Low,High,High,Low,High,E,yes
Medium,Low,Low,Low,Low,High,Medium,Medium,Medium,N,yes
High,Low,Low,Low,Low,Low,Low,Medium,High,E,no
High,Low,Low,Low,Low,Medium,Medium,Low,High,E,no
High,Low,Low,Low,Low,High,High,Low,High,E,yes
High,Low,Low,Low,Low,Low,High,Low,High,N,yes
High,Low,Low,Low,Low,Low,Low,High,High,N,no
High,Low,Low,Low,Low,Low,Medium,Low,Medium,N,yes
High,Low,Low,Low,Low,High,High,Low,High,N,yes
High,Low,Low,Low,Low,High,Medium,Medium,Medium,E,no
High,Low,Low,Low,Low,Medium,High,Low,High,N,yes
High,Low,Low,Low,Low,Low,High,Low,Medium,N,yes
High,Low,Low,Low,Low,Low,Low,High,Low,N,no
Medium,Low,Low,Low,Medium,High,High,Low,Low,N,yes
Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,Low,S,no
Medium,Medium,Medium,Low,Low,Medium,Medium,Medium,Low,N,yes
High,Low,Low,Low,Low,Low,High,Low,Medium,N,no
High,Low,Low,Low,Low,High,High,Low,Medium,N,yes
High,Low,Low,Low,Low,Low,Low,Medium,Medium,N,yes
High,Low,Low,Low,Low,Low,Medium,Low,High,E,yes
High,Low,Low,Low,Low,High,High,Low,Medium,E,yes
High,Low,Low,Low,Low,Medium,High,Low,Low,N,yes
High,Low,Low,Low,Low,Medium,Medium,Medium,Low,N,yes
High,Medium,Low,Low,Low,Low,Low,High,Medium,N,no
High,Low,Low,Low,Low,Low,Low,High,High,E,no
High,Medium,Low,Low,Low,Low,Low,High,Low,N,no
High,Low,Low,Low,Low,Medium,Medium,Medium,Medium,N,no
Medium,Low,Low,Low,Low,Medium,Medium,Low,Low,N,yes
Medium,Medium,Medium,Low,Low,Medium,Medium,High,Low,S,no
Medium,Low,Low,Low,Low,High,Medium,Low,Low,N,yes
Medium,Low,Low,Low,Medium,High,High,Low,Low,N,no
Medium,Low,Low,Low,Medium,High,High,Low,Low,E,yes
Medium,Low,Low,Low,Low,High,High,Low,Medium,E,yes
Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,Low,N,yes
Medium,Low,Low,Low,Low,High,High,Low,Medium,N,yes
High,Low,Low,Low,Low,Low,Low,High,Low,E,no
High,Low,Low,Low,Low,Low,Medium,Medium,Medium,E,yes
High,Low,Low,Low,Low,Medium,High,Medium,Low,N,yes
Medium,Medium,Medium,Low,Medium,High,Medium,Medium,Low,E,no
Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,Low,E,no
Medium,Medium,Low,Low,Medium,High,Medium,Medium,Low,N,yes
Medium,Medium,Medium,Medium,Medium,High,High,Medium,Low,E,no
Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,Low,E,yes
Medium,Medium,Medium,Medium,Medium,High,Medium,Low,Low,N,yes
Medium,Medium,Medium,Medium,Medium,High,Medium,High,Medium,E,no
Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,Low,N,no
Medium,Medium,Medium,Medium,Medium,High,High,Medium,Medium,S,yes
Low,Medium,Medium,Medium,Medium,High,High,Low,Medium,S,yes
Medium,Low,Medium,Medium,Medium,High,High,Low,High,E,yes
Low,Low,Low,Medium,Medium,High,High,Low,High,E,yes
Low,Medium,Medium,Medium,Medium,High,High,Low,Low,N,yes
Medium,Low,Low,Medium,Medium,High,High,Low,Medium,N,yes
Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,Low,S,yes
Medium,Medium,Medium,Medium,Medium,High,High,Low,Medium,S,yes
Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,E,yes
High,Low,Low,Medium,Low,High,High,Low,High,E,yes
Medium,Low,Medium,Medium,Medium,High,High,Low,Medium,N,yes
Medium,Medium,Medium,Medium,Medium,High,Medium,Low,Low,W,yes
Low,Medium,Medium,Medium,Medium,High,Medium,Low,Low,W,yes
Low,Medium,Medium,Medium,Medium,High,Medium,Medium,Low,S,yes
Low,Medium,Medium,High,High,High,High,Medium,Medium,S,yes
