pressure ,maxtemp,temparature,mintemp,dewpoint,humidity ,cloud ,sunshine,         winddirection,windspeed,rainfall
1025.9,19.9,18.3,16.8,13.1,72,49,9.3,80,26.3,yes
1022,21.7,18.9,17.2,15.6,81,83,0.6,50,15.3,yes
1019.7,20.3,19.3,18,18.4,95,91,0,40,14.2,yes
1018.9,22.3,20.6,19.1,18.8,90,88,1,50,16.9,yes
1015.9,21.3,20.7,20.2,19.9,95,81,0,40,13.7,yes
1018.8,24.3,20.9,19.2,18,84,51,7.7,20,14.5,yes
1021.8,21.4,18.8,17,15,79,56,3.4,30,21.5,no
1020.8,21,18.4,16.5,14.4,78,28,7.7,60,14.3,no
1020.6,18.9,18.1,17.1,14.3,78,79,3.3,70,39.3,no
1017.5,18.5,18,17.2,15.5,85,91,0,70,37.7,yes
1016.5,20.4,18.1,16.5,16.4,90,90,2.1,40,23.3,yes
1019.9,18.5,17.3,16.1,13.7,79,86,0.6,20,23.9,no
1020.8,18.7,16.1,14.2,12.1,77,34,9.1,30,24.4,no
1019.3,17.5,16.5,15.6,12.9,79,81,1.5,60,33.2,yes
1015.4,16.1,15.1,14.5,14.6,97,97,0,50,37.5,yes
1013.5,17.1,16.4,15.5,15.6,95,93,0,60,40,yes
1011.5,20.6,17.8,14.8,16.1,90,79,1.6,20,23.4,yes
1017.1,17.8,15.2,11.9,11.1,76,49,3.9,50,28.4,no
1020.1,17.6,16.4,15.3,12.5,78,84,1,60,38,no
1019.6,16.8,15.5,14.8,13.9,90,92,0,70,50.6,yes
1017.7,17.1,16.1,15.1,15.3,95,100,0,50,26.2,yes
1018.9,16.2,14.1,10.3,12.9,92,100,0,50,35.3,yes
1027.1,10.4,8.5,7,3.4,70,95,0,20,55.5,yes
1034.6,7.1,4.9,3.1,2.2,61,96,0,20,59.5,yes
1032.6,10.8,7.4,4.3,3.7,46,25,10.1,20,28.7,no
1027.1,13.5,10.4,8.1,2.5,59,85,0.4,20,21.3,yes
1022.7,15.3,13,9.8,11.6,92,95,0.2,20,29.6,yes
1018.2,17.4,16.1,14.8,15.7,98,100,0,60,28.8,yes
1017.9,17.4,16.6,15.9,15.9,96,91,0.2,50,25,yes
1020,19.9,17.6,16.2,15.5,88,80,3.3,50,21.2,no
1019.9,16.2,15.7,15.3,13.4,86,93,0.1,70,43.1,yes
1022.2,15.6,12.4,10.7,11.2,93,96,0,20,31.9,yes
1024.4,11.2,10.4,9.4,6.8,79,94,0,10,27.3,yes
1023.6,14.3,12.5,10.3,8.6,77,88,0.3,40,21.3,yes
1021.8,18.8,15.2,13.3,10.9,76,45,9.2,40,9.1,no
1021.2,18.6,14.8,12.3,8.4,66,18,10.1,20,24.4,no
1024.9,17.4,13.6,11.2,0.3,39,13,10.2,20,44.7,no
1026.1,18.1,13.7,9.9,1.7,36,2,10.2,20,20.5,no
1023.9,19.6,14.8,11.6,4.3,52,0,10.2,40,16.7,no
1020.8,21.2,16.7,12.7,7.2,54,29,10.2,40,17.2,no
1017.5,17.3,16.6,15.3,9.8,64,77,0.1,40,22,yes
1014.9,22.4,18.8,17.2,16.4,86,80,2.4,40,15.8,yes
1013.4,21.6,19.2,17.6,18.5,95,86,0.6,30,13.9,yes
1012.5,25.9,23.1,21.3,21.1,89,76,3.5,200,10.2,no
1014.8,24.6,21.7,17.4,18.1,81,82,3.9,20,15.3,yes
1024.3,17.5,13.2,11.4,6.6,64,88,0,20,33.5,yes
1025.4,15.1,12.8,10.9,6,63,89,0.7,20,23.5,no
1024.1,14.4,12.9,11.6,8.9,77,91,0,20,19.2,yes
1021.9,15,13.7,11.7,11.8,89,95,0,40,18.6,yes
1020.3,16.3,15.3,14.6,13.3,88,94,0,40,22.2,yes
1023.2,20.1,16,12.5,9.6,67,55,5.9,20,23.9,yes
1022.2,15.9,15,14.7,11,77,82,0,70,44.7,yes
1020.6,17.6,16.1,14.6,14.7,91,88,0.3,50,24.4,yes
1022.3,16.7,15.5,13.7,14.3,92,88,0,20,19.3,yes
1027.5,15.5,13.7,12.3,10,78,88,0,20,28,yes
1028.9,16.8,14.8,13.5,10.5,76,87,0.1,20,20.4,no
1027.4,17.6,15.2,14,11.6,79,88,0.2,30,15.2,yes
1024.7,17.5,15.5,13.8,11.7,79,79,5,20,9.1,yes
1023.8,20.9,16.6,13.3,11.5,72,49,9.5,20,9.2,no
1024.4,24.8,18.5,14.4,10.1,61,19,10.7,40,16.9,no
1024.7,19.7,16.5,14.6,11.5,73,43,9.9,70,34.2,no
1023.8,20.6,16.6,14.4,11.4,72,32,10.6,60,27.1,no
1020.9,23.8,18.7,15.4,14,75,46,10,40,14.7,no
1018.1,23.2,20.2,18.1,16.9,82,71,3,40,15.4,no
1016.7,23.1,20.8,19.2,16.9,79,83,0.5,30,13.3,yes
1015.8,25.9,21.8,19.2,18,79,72,7.6,220,6.6,no
1014.9,21.3,19.7,18.9,18.2,91,76,0,40,13.8,yes
1012.5,21.5,20.1,18.9,18.9,93,88,0.3,40,15.3,no
1012.5,22.9,20.8,17.1,19.9,95,88,0.6,50,15.1,yes
1019.5,17.2,13.4,10,12.2,93,93,0,20,39.7,yes
1022.6,14.3,11.9,10,8,77,93,0,20,25,yes
1017.7,14.5,13.6,12.7,11.4,87,100,0,50,36,yes
1014.5,17,15.8,14.4,15.1,96,99,0,50,22.8,yes
1018,16.5,15.3,14.2,12.4,83,89,1.1,20,26.7,yes
1017.1,15.5,14.8,14,11.1,79,94,0,70,38,yes
1015,16.3,15.3,14.1,13.6,90,100,0,60,33.2,yes
1014.3,17.4,16.5,15.6,16,97,97,0,50,26.5,yes
1012,21.9,19.5,17.2,19,97,92,0.1,30,13.1,yes
1013,24.9,22.4,20.3,21.4,94,85,1.5,40,12.5,yes
1014.7,23.1,19,17.6,17.4,91,96,0,50,28,yes
1014.8,18.2,17.1,16.4,16.3,95,95,0.1,60,38.3,yes
1013.4,17.3,16.6,15.9,16,96,100,0,50,33.5,yes
1012.8,20.6,18.4,17.1,18,97,95,0.6,40,22,yes
1020.2,17.7,15.3,12.7,14.9,98,99,0,70,42,yes
1023.9,15.7,13.7,11.6,9.2,75,88,0.2,20,19.4,yes
1023.6,20.2,15.8,12.6,9.8,68,22,11.1,70,13.4,no
1024.1,22.4,17.3,14.6,8.4,58,19,11.1,30,14.6,no
1024.1,19.9,16.9,15.2,10,65,58,5.6,60,26.9,no
1021.4,19.4,17.7,15.7,9.6,59,74,2.4,50,20.5,yes
1018.3,22.2,20,18.4,16.3,79,89,2.4,40,14.8,yes
1015.3,25.5,21.5,19.1,18.9,86,83,6.1,50,4.5,no
1014.5,25.3,21.9,19.9,19.5,86,83,3.6,50,8.3,no
1015.6,23.8,21.3,19.8,19.6,90,81,1.5,40,14.5,yes
1014.6,26.5,23,21,20.7,87,88,2.3,50,9.2,no
1012.5,28.1,23.6,20.7,21.4,88,84,2.2,120,8,yes
1013.3,24.4,22.3,20.7,20.8,91,78,1,40,14.8,yes
1013.3,26.5,23.1,21.5,21.6,91,83,6.9,70,20,no
1013.2,26.9,23.9,22.4,22.3,91,84,1.8,40,10,no
1013.3,27.9,25.3,23.2,22.9,87,84,2.5,40,9.1,yes
1011.6,27.5,25.7,24.4,23.2,86,88,1.2,200,17.3,yes
1009.2,26.3,23.3,21.3,21.9,92,93,0,190,20.5,yes
1010.1,22.8,21.5,20.1,19.9,91,89,0,70,31.8,yes
1009.1,21.3,20.3,19.9,19.3,94,88,0,70,29.8,yes
1005.5,25.1,21.8,20.9,21.6,98,93,0,40,14.5,yes
1008.5,25.2,23.1,21.6,22.8,98,88,0,30,11.2,yes
1011.4,23.5,21.1,20.6,20.6,97,88,0,30,20,yes
1010.5,28.1,24.7,20.6,22.7,89,81,3.5,210,15.3,yes
1010.9,27.5,25.9,24.1,24.2,90,86,1.1,190,16,yes
1014.4,26.7,23.1,20.1,20.8,87,81,1.2,80,19.6,yes
1017.4,21.8,20.5,20.1,18.1,86,88,0,70,35.3,yes
1014.6,22.9,21.6,20.2,19.5,88,89,0.2,40,20.9,yes
1012.5,28.4,24.6,22,22.3,87,80,4.8,30,7.3,yes
1010.7,26.1,23.7,21,22,90,81,1,300,11.1,yes
